"age","sex","category","population"
66,"Miehet","v2010",21
66,"Miehet","v2024",30
67,"Miehet","v1990",14
67,"Miehet","v2010",20
67,"Miehet","v2024",29
68,"Miehet","v1990",15
68,"Miehet","v2010",15
68,"Miehet","v2024",31
69,"Miehet","v1990",10
69,"Miehet","v2010",26
69,"Miehet","v2024",24
70,"Miehet","v1990",9
70,"Miehet","v2010",18
70,"Miehet","v2024",34
71,"Miehet","v1990",7
71,"Miehet","v2010",16
71,"Miehet","v2024",31
72,"Miehet","v1990",4
72,"Miehet","v2010",18
72,"Miehet","v2024",34
73,"Miehet","v1990",8
73,"Miehet","v2010",11
73,"Miehet","v2024",28
74,"Miehet","v1990",9
74,"Miehet","v2010",17
74,"Miehet","v2024",18
75,"Miehet","v1990",7
75,"Miehet","v2010",13
75,"Miehet","v2024",23
76,"Miehet","v1990",3
76,"Miehet","v2010",6
76,"Miehet","v2024",19
77,"Miehet","v1990",6
77,"Miehet","v2010",5
77,"Miehet","v2024",16
78,"Miehet","v1990",10
78,"Miehet","v2010",16
78,"Miehet","v2024",27
79,"Miehet","v1990",5
79,"Miehet","v2010",13
79,"Miehet","v2024",16
80,"Miehet","v1990",4
80,"Miehet","v2010",15
80,"Miehet","v2024",17
81,"Miehet","v1990",4
81,"Miehet","v2010",10
81,"Miehet","v2024",9
82,"Miehet","v1990",8
82,"Miehet","v2010",8
82,"Miehet","v2024",9
83,"Miehet","v1990",3
83,"Miehet","v2010",8
83,"Miehet","v2024",15
84,"Miehet","v1990",3
84,"Miehet","v2010",8
84,"Miehet","v2024",6
85,"Miehet","v1990",2
85,"Miehet","v2010",3
85,"Miehet","v2024",9
86,"Miehet","v1990",1
86,"Miehet","v2010",5
86,"Miehet","v2024",11
87,"Miehet","v1990",3
87,"Miehet","v2010",3
87,"Miehet","v2024",4
88,"Miehet","v1990",0
88,"Miehet","v2010",4
88,"Miehet","v2024",6
89,"Miehet","v1990",1
89,"Miehet","v2010",0
89,"Miehet","v2024",3
90,"Miehet","v1990",1
90,"Miehet","v2010",1
90,"Miehet","v2024",2
91,"Miehet","v1990",0
91,"Miehet","v2010",1
91,"Miehet","v2024",1
92,"Miehet","v1990",0
92,"Miehet","v2010",0
92,"Miehet","v2024",1
93,"Miehet","v1990",0
93,"Miehet","v2010",0
93,"Miehet","v2024",3
